                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4792,                 3.3125,                 1.4998,                0.00422,                0.59767,                0.18547,                0.14474,                 1.4345,                 3.5176,                 1.3339,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.4609,                 2.9554,                 1.4458,                0.00398,                0.62093,                0.32797,                0.24798,                 1.4014,                  3.412,                 1.2716,             0.00021456,             0.00021456,             0.00021456
                      3,                 1.3487,                 2.2822,                 1.3839,                 0.9215,                0.27028,                0.37383,                0.28406,                 1.4441,                 3.1874,                 1.3043,              0.0003268,              0.0003268,              0.0003268
                      4,                 1.2311,                 2.0305,                 1.2483,                0.91952,                0.26197,                0.37205,                0.30312,                 1.3736,                 3.1911,                 1.2431,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.2875,                   1.87,                 1.3156,                 0.9094,                 0.3219,                0.34967,                0.25356,                 1.5168,                 3.0897,                 1.3796,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.2778,                 1.9515,                 1.2616,                      1,                0.19625,                0.28441,                0.13263,                 1.6829,                 3.4124,                 1.6444,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.2743,                 1.7652,                 1.2714,                0.72654,                0.35356,                0.36792,                0.22408,                 1.5893,                 3.1001,                 1.5713,             0.00075263,             0.00075263,             0.00075263
                      8,                 1.3258,                 1.7057,                 1.2945,                0.46679,                0.34651,                 0.3472,                0.23108,                 1.6451,                 2.8521,                 1.3877,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.2936,                 1.6523,                 1.2859,                 0.9867,                    0.3,                0.38869,                0.24688,                 1.6144,                 2.7857,                 1.3281,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.1981,                 1.6192,                 1.2425,                0.71228,                0.36977,                0.41792,                0.26264,                 1.7262,                 2.5407,                 1.4518,              0.0010477,              0.0010477,              0.0010477
                     11,                 1.3032,                 1.6561,                 1.2938,                0.47878,                0.33488,                0.32739,                0.20434,                 1.8227,                 2.7019,                  1.471,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.3015,                 1.6371,                 1.2651,                0.55264,                0.42551,                0.38566,                0.26726,                 1.6147,                 2.6806,                 1.3609,              0.0012329,              0.0012329,              0.0012329
                     13,                 1.3218,                 1.6256,                 1.2841,                0.76919,                   0.35,                0.43999,                0.30932,                 1.6613,                 2.8256,                 1.5131,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.3101,                 1.6179,                 1.2521,                 0.7714,                    0.3,                0.35159,                0.18142,                 1.8182,                 3.3176,                 1.5739,              0.0014089,              0.0014089,              0.0014089
                     15,                 1.2124,                 1.4619,                 1.2085,                0.45478,                 0.2314,                0.17001,                 0.1044,                 1.8285,                 2.9413,                 1.4524,               0.001436,               0.001436,               0.001436
                     16,                 1.3498,                 1.5568,                 1.2839,                0.12153,                0.30465,                0.05895,                0.03425,                  1.995,                 4.1551,                  1.618,               0.001436,               0.001436,               0.001436
